,Area Code,country,Year,population,forestland,CO2emission,CropLand CO2 Emission rate (Unit = Tonnes C/ha),GrassLand CO2 Emission,Burning Rate
61,101,Indonesia,1997,202826.465,105149.8,-6.0904,19.5711,4.9109,9818022.663
62,101,Indonesia,1998,205715.544,103236.2,-6.3161,19.5711,4.9109,1947856.627
63,101,Indonesia,1999,208612.556,101322.6,-6.5547,19.5711,4.9109,1397719.565
64,101,Indonesia,2000,211540.429,99409,-6.8071,19.5711,4.9109,610828
65,101,Indonesia,2001,214506.502,99098.6,3.4752,19.5751,4.9123,619211
66,101,Indonesia,2002,217508.059,98788.2,3.5159,19.5786,4.9138,3543363
67,101,Indonesia,2003,220545.214,98477.8,3.557,19.5821,4.9153,1174633
68,101,Indonesia,2004,223614.649,98167.4,3.5985,19.581,4.9182,2640104
69,101,Indonesia,2005,226712.73,97857,3.6405,19.587,4.9196,1056119
70,101,Indonesia,2006,229838.202,97172,6.0992,19.593,4.9199,3884890
71,101,Indonesia,2007,232989.141,96487,6.1889,19.6009,4.9209,879902
72,101,Indonesia,2008,236159.276,95802,6.2805,19.6018,4.9212,788395
73,101,Indonesia,2009,239340.478,95117,6.3742,19.5995,4.9207,2260788
74,101,Indonesia,2010,242524.123,94432,6.4698,19.6024,4.9209,435773
75,101,Indonesia,2011,245707.511,93747.6,6.5565,19.6055,4.9202,1237185
76,101,Indonesia,2012,248883.232,93063.2,6.6562,19.6089,4.9205,1213559
77,101,Indonesia,2013,252032.263,92378.8,6.7582,19.6124,4.921,922658
78,101,Indonesia,2014,255131.116,91694.4,6.8624,19.6064,4.9217,2450257
79,101,Indonesia,2015,258162.113,91010,6.9691,19.6067,4.9217,3870238
