Area Code,Area,Year,Population (Unit 1000 person),Forest Land (Unit 1000 ha),Forest CO2 emission rate (Tonnes C/ha),CropLand CO2 Emission rate (Unit = Tonnes C/ha),GrassLand CO2 Emission rate (unit = Tonnes C/ha)
26,Brunei Darussalam,1990,258.785,413,0.6933,17.3517,4.277
26,Brunei Darussalam,1991,266.274,411.4,0.6992,17.3517,4.277
26,Brunei Darussalam,1992,273.963,409.8,0.6879,17.3517,4.277
26,Brunei Darussalam,1993,281.751,408.2,0.7112,17.3517,4.277
26,Brunei Darussalam,1994,289.525,406.6,0.7174,17.3517,4.277
26,Brunei Darussalam,1995,297.192,405,0.7061,17.3517,4.277
26,Brunei Darussalam,1996,304.699,403.4,0.7298,17.3517,4.277
26,Brunei Darussalam,1997,312.038,401.8,0.7362,17.3517,4.277
26,Brunei Darussalam,1998,319.222,400.2,0.725,17.3517,4.277
26,Brunei Darussalam,1999,326.289,398.6,0.7491,17.3517,4.277
26,Brunei Darussalam,2000,333.241,397,0.7557,17.3517,4.277
26,Brunei Darussalam,2001,340.117,395.4,0.6204,17.2295,4.277
26,Brunei Darussalam,2002,346.867,393.8,0.6624,17.2011,4.277
26,Brunei Darussalam,2003,353.389,392.2,0.6332,17.0815,4.277
26,Brunei Darussalam,2004,359.523,390.6,0.6576,17.0449,4.2856
26,Brunei Darussalam,2005,365.158,389,0.6643,17.0389,4.2681
26,Brunei Darussalam,2006,370.25,387.2,0.2931,17.1145,4.2681
26,Brunei Darussalam,2007,374.864,385.4,0.2791,17.0718,4.2681
26,Brunei Darussalam,2008,379.252,383.6,0.3014,17.0397,4.2681
26,Brunei Darussalam,2009,383.772,381.8,0.2874,16.9171,4.1137
26,Brunei Darussalam,2010,388.662,380,0.3099,16.975,4.1665
26,Brunei Darussalam,2011,394.013,380,0,16.9136,4.1665
26,Brunei Darussalam,2012,399.748,380,0,16.9136,4.1557
26,Brunei Darussalam,2013,405.716,380,0,16.8685,4.1214
26,Brunei Darussalam,2014,411.704,380,0,16.7125,4.0139
26,Brunei Darussalam,2015,417.542,380,0,16.7869,4.0712
26,Brunei Darussalam,2016,423.196,380,0,16.7869,4.0712
115,Cambodia,1990,8973.342,12944,0.1585,0,0
115,Cambodia,1991,9286.976,12804.2,0.1621,0,0
115,Cambodia,1992,9621.504,12664.4,0.1659,0,0
115,Cambodia,1993,9968.275,12524.6,0.1698,0,0
115,Cambodia,1994,10315.376,12384.8,0.1738,0,0
115,Cambodia,1995,10653.558,12245,0.178,0,0
115,Cambodia,1996,10980.273,12105.2,0.1823,0,0
115,Cambodia,1997,11295.88,11965.4,0.1868,0,0
115,Cambodia,1998,11597.739,11825.6,0.1915,0,0
115,Cambodia,1999,11883.636,11685.8,0.1963,0,0
115,Cambodia,2000,12152.354,11546,0.2013,0,0
115,Cambodia,2001,12402.473,11383,0.2638,0,0
115,Cambodia,2002,12634.729,11220,0.2715,0,0
115,Cambodia,2003,12853.124,11057,0.2795,0,0
115,Cambodia,2004,13063.377,10894,0.2878,0,0
115,Cambodia,2005,13270.201,10731,0.2966,0,0
115,Cambodia,2006,13474.489,10603.6,0.1118,0,0
115,Cambodia,2007,13676.693,10476.2,0.1145,0,0
115,Cambodia,2008,13880.509,10348.8,0.1173,0,0
115,Cambodia,2009,14090.208,10221.4,0.1203,0,0
115,Cambodia,2010,14308.74,10094,0.1233,0,0
115,Cambodia,2011,14537.886,9966.6,0.1264,0,0
115,Cambodia,2012,14776.866,9839.2,0.1297,0,0
115,Cambodia,2013,15022.692,9711.8,0.1331,0,0
115,Cambodia,2014,15270.79,9584.4,0.1367,0,0
115,Cambodia,2015,15517.635,9457,0.1403,0,0
115,Cambodia,2016,15762.37,9329.6,0.1442,0,0
101,Indonesia,1990,181436.821,118545,-4.8014,19.5711,4.9109
101,Indonesia,1991,184615.979,116631.4,-4.959,19.5711,4.9109
101,Indonesia,1992,187766.086,114717.8,-5.1244,19.5711,4.9109
101,Indonesia,1993,190879.523,112804.2,-5.2983,19.5711,4.9109
101,Indonesia,1994,193945.272,110890.6,-5.4812,19.5711,4.9109
101,Indonesia,1995,196957.849,108977,-5.6737,19.5711,4.9109
101,Indonesia,1996,199914.831,107063.4,-5.8765,19.5711,4.9109
101,Indonesia,1997,202826.465,105149.8,-6.0904,19.5711,4.9109
101,Indonesia,1998,205715.544,103236.2,-6.3161,19.5711,4.9109
101,Indonesia,1999,208612.556,101322.6,-6.5547,19.5711,4.9109
101,Indonesia,2000,211540.429,99409,-6.8071,19.5711,4.9109
101,Indonesia,2001,214506.502,99098.6,3.4752,19.5751,4.9123
101,Indonesia,2002,217508.059,98788.2,3.5159,19.5786,4.9138
101,Indonesia,2003,220545.214,98477.8,3.557,19.5821,4.9153
101,Indonesia,2004,223614.649,98167.4,3.5985,19.581,4.9182
101,Indonesia,2005,226712.73,97857,3.6405,19.587,4.9196
101,Indonesia,2006,229838.202,97172,6.0992,19.593,4.9199
101,Indonesia,2007,232989.141,96487,6.1889,19.6009,4.9209
101,Indonesia,2008,236159.276,95802,6.2805,19.6018,4.9212
101,Indonesia,2009,239340.478,95117,6.3742,19.5995,4.9207
101,Indonesia,2010,242524.123,94432,6.4698,19.6024,4.9209
